address,lattitude,longitude
대구광역시 달서구 진천로9길 33,35.81222021,128.5228075
대구광역시 서구 국채보상로36길 39,35.8676087802915,128.5534060802915
대구광역시 중구 남산로13길 17,35.86183348029149,128.5825646802915
대구광역시 서구 달서로45길 30,35.88421278029149,128.5700368802915
대구광역시 중구 달구벌대로445길 44-10,35.8657352802915,128.6086307802915
대구광역시 중구 동덕로36길 105-8,35.871075980291494,128.6115672802915
"대구광역시 중구 달구벌대로 1975 , 105동 103호 (대신동,태왕아너스스카이)",35.8664795802915,128.5811013802915
"대구광역시 중구 달구벌대로 1950 , 106동 1호 (남산동,남산그린타운)",35.8636465802915,128.5787127802915
대구광역시 중구 동덕로26길 20 (삼덕동2가),35.866088380291494,128.6059948802915
대구광역시 중구 국채보상로 511 (서문로2가),35.8722024802915,128.5879002802915
대구광역시 달서구 감삼북길 119-10,35.8510266,128.5421825
대구광역시 서구 국채보상로34길 63,35.8656059802915,128.5524254802915
대구광역시 중구 동덕로 141 (삼덕동2가),35.8679789802915,128.6019165802915
대구광역시 중구 달구벌대로445길 26-8,35.8649483802915,128.6082881802915
대구광역시 서구 달서로17길 17,35.8717609802915,128.5704406802915
"대구광역시 중구 동덕로30길 53 , 101동 101호(동인동4가,동인삼정그린코아)",35.86878538029149,128.6083487802915
대구광역시 중구 동성로12길 71,35.8725273802915,128.6009476802915
대구광역시 서구 평리로 157,35.8609514802915,128.5419411802915
대구광역시 서구 달서로 33,35.8668833802915,128.5714975802915
대구광역시 중구 봉산문화2길 42-19,35.8647584802915,128.5990620802915
대구광역시 중구 서성로 49-12,35.8723908802915,128.5878851802915
대구광역시 중구 명덕로 221,35.85821018029149,128.5958320802915
대구광역시 중구 공평로4길 10,35.8666355802915,128.6018344802915
대구광역시 서구 당산로51길 48,35.85978438029151,128.5454928802915
"대구광역시 중구 달구벌대로 1950 , 104동 102호(남산동,남산그린타운)",35.8636465802915,128.5787127802915
"대구광역시 중구 중앙대로 297, 3등~7층 (남산동, 대한내과빌딩)",35.8748823,128.5954721
"대구광역시 중구 남산로 30 , 103동 1층 (남산동,극동스타클래스남산)",35.8611469802915,128.5846845802915
대구광역시 중구 달구벌대로445길 44-23,35.8658796802915,128.6089430802915
대구광역시 중구달구벌대로443길 8-11,35.8645781802915,128.6071492802915
대구광역시 중구 공평10길 30-74,35.8692400302915,128.6032344302915
대구광역시 중구 남산로1길 46-5 (남산동),35.8597974802915,128.5816119802915
대구광역시 중구 국채보상로150길 76-19,35.86657278029149,128.6108971802915
대구광역시 중구 남산로6안길 15-15,35.85999158029149,128.5878635802915
대구광역시 서구 북비산로45길 7,35.8814529802915,128.5580848802915
대구광역시 달서구 상인로 25,35.81006963,128.5502023
대구광역시 서구 달서로55길 5,35.8881657802915,128.5757569802915
대구광역시 중구 국채보상로657-3,35.8711897802915,128.6040203802915
대구광역시 중구 명덕로66길 10-16,35.85958108029149,128.5793882802915
대구광역시 중구 국채보상로149길 65-7,35.872886680291494,128.6121082802915
대구광역시 달서구 한실로 53,35.80748297,128.53219270000002
대구광역시 중구 국채보상로142길 43,35.8680353802915,128.6100656802915
대구광역시 중구 동덕로14길 18-1 (대봉동),35.8621254802915,128.6061252802915
대구광역시 서구 원대로13길 2,35.884484980291504,128.5820777802915
대구광역시 서구 국채보상로 7,35.87371029999999,128.5366505302915
대구광역시 서구 달서로26길 25,35.87576523029149,128.5708169
대구광역시 서구 북비산로 156,35.87989028029149,128.5516007802915
대구광역시 중구 명륜로21길 43-11,35.86390188029149,128.5954958802915
대구광역시 서구 국채보상로36길 57,35.8659511802915,128.5534055802915
대구광역시 중구 중앙대로58길 44,35.85847818029149,128.5948475802915
대구광역시 중구 중앙대로58길 37-4,35.8588302802915,128.5945622802915
대구광역시 서구 평리로54길 21,35.86255458029149,128.5552787802915
대구광역시 달서구 당산로 176,35.84994411,128.55029009999998
대구광역시 중구 국채보상로149길 5,35.8701905802915,128.6123333802915
대구광역시 서구 통학로 35 ,35.8647934802915,128.5653350802915
대구광역시 서구 평리로 236,35.86215998029149,128.5503122802915
대구광역시 중구 경상감영길 231-8,35.8734099802915,128.6014492802915
대구광역시 중구 서성로 49-14,35.8726476802915,128.5877120802915
대구광역시 서구 당산로47길 69,35.85781478029149,128.5447486802915
대구광역시 중구 국채보상로139길 1 (동인동2가),35.8706327802915,128.6074268802915
대구광역시 서구 달서천로76길 11,35.88271758029151,128.5772105802915
대구광역시 중구 남산로13길 9 (남산동),35.8628470802915,128.5831942802915
대구광역시 중구 남산로6안길 27-28,35.8591023802915,128.5877783802915
대구광역시 서구 달서천로76길 8,35.8836924802915,128.5763382802915
대구광역시 서구 문화로 261,35.87727218029149,128.5626603802915
대구광역시 중구 공평로 87-3,35.87325928029149,128.6020294802915
대구광역시 서구 당산로 273-10,35.8617995802915,128.5467367802915
대구광역시 중구 동덕로 114-22,35.8658555802915,128.6056896802915
대구광역시 중구 국채보상로149길 50,35.87197198029151,128.6131543802915
대구광역시 중구 명륜로23길 16,35.8629074802915,128.5984425802915
대구광역시 서구 서대구로66길 20,35.88779598029149,128.5687931802915
대구광역시 중구 봉산문화길 69,35.8637479802915,128.5981631802915
대구광역시 달서구 계대동문로 77,35.85580334,128.500829
대구광역시 서구 서대구로18길 9,35.86712698029149,128.5583799802915
대구광역시 중구 국채보상로143길 28,35.8734556802915,128.6099310802915
대구광역시 달서구 월성로 65,35.83095298,128.5282767
대구광역시 중구 교동4길 21,35.8743728802915,128.6008551802915
대구광역시 서구 서대구로3길 76,35.8597085802915,128.5496963802915
