addresss,lattitude,longitude
대구광역시 서구 통학로 35 ,35.8647934802915,128.5653350802915
대구광역시 서구 달구벌대로357길 22,35.8629764802915,128.5612862802915
대구광역시 서구 통학로 46,35.86591618029149,128.5661867802915
대구광역시 서구 서대구로8길 49,35.86373508029149,128.5632746802915
대구광역시 서구 통학로 39,35.86545458029149,128.5648635802915
대구광역시 서구 서대구로8길 15,35.86374208029149,128.5596396802915
대구광역시 서구 달구벌대로365길 3,35.86238548029149,128.5646967802915
대구광역시 서구 큰장로15길 11-1,35.8686208802915,128.5759049802915
대구광역시 서구 달구벌대로377안길 10,35.8646869802915,128.5695717802915
대구광역시 서구 달서로 33,35.8668833802915,128.5714975802915
대구광역시 서구 서대구로3길 46,35.86030218029149,128.5531084802915
대구광역시 서구 평리로54길 16,35.8626556802915,128.5540515802915
대구광역시 서구 달구벌대로 1725,35.85976738029149,128.5559269802915
대구광역시 서구 서대구로3길 5,35.86029758029149,128.5574453802915
대구광역시 서구 서대구로3길 32,35.86083488029149,128.5544717802915
대구광역시 서구 평리로54길 21,35.86255458029149,128.5552787802915
대구광역시 서구 서대구로 25,35.8614744802915,128.5574945802915
대구광역시 서구 달구벌대로 1707,35.85849908029149,128.5538001802915
대구광역시 서구 달구벌대로377길 8,35.86426728029149,128.5708354802915
대구광역시 서구 평리로 236,35.86215998029149,128.5503122802915
대구광역시 서구 당산로 260,35.86104888029149,128.5484976802915
대구광역시 서구 평리로 214,35.86214718029149,128.5481851802915
대구광역시 서구 서대구로3길 76,35.8597085802915,128.5496963802915
대구광역시 서구 달구벌대로377길 29,35.86607968029149,128.5706900802915
대구광역시 서구 당산로 206,35.85635518029149,128.5497873802915
대구광역시 서구 당산로 273-10,35.8617995802915,128.5467367802915
대구광역시 서구 평리로 214,35.86214718029149,128.5481851802915
대구광역시 서구 평리로 236,35.86215998029149,128.5503122802915
대구광역시 서구 북비산로65길 18,35.8825067802915,128.5703657802915
대구광역시 서구 북비산로61길 34,35.88384428029149,128.5690551802915
대구광역시 서구 달서로45길 30,35.88421278029149,128.5700368802915
대구광역시 서구 통학로48길 7,35.8827141802915,128.5659670802915
대구광역시 서구 국채보상로81길 43,35.87717978029149,128.5760885802915
대구광역시 서구 달서로26길 25,35.87576523029149,128.5708169
대구광역시 서구 국채보상로78길 29-4,35.87115028029149,128.5756496802915
대구광역시 서구 달서로 103,35.87285758029149,128.5722080802915
대구광역시 서구 달서로17길 17,35.8717609802915,128.5704406802915
대구광역시 서구 국채보상로 426,35.8718976802915,128.5786161802915
대구광역시 서구 국채보상로 384,35.8723215802915,128.5751841802915
대구광역시 서구 달서로17길 17,35.8717609802915,128.5704406802915
대구광역시 서구 통학로24길 60,35.8725126802915,128.5713761802915
대구광역시 서구 달서천로65길 17,35.8877061802915,128.5710120802915
대구광역시 서구 서대구로66길 20,35.88779598029149,128.5687931802915
대구광역시 서구 달서천로57길 20,35.8877972802915,128.5667817802915
대구광역시 서구 고성로 22,35.88844088029151,128.5717461802915
대구광역시 서구 달서천로61길 34,35.8884198802915,128.5708499802915
대구광역시 서구 문화로67길 3,35.8776572802915,128.5704528802915
대구광역시 서구 달서로33길 2,35.87830538029149,128.5721596802915
대구광역시 서구 문화로67길 17-11,35.87879778029149,128.5700014802915
대구광역시 서구 문화로69길 13-4,35.8789123802915,128.5711296802915
대구광역시 서구 염색공단로5길 4,35.88935068029149,128.5549048802915
대구광역시 서구 염색공단로11길 35,35.8862501802915,128.5550837802915
대구광역시 서구 서대구로61길 3,35.8864634802915,128.5574864802915
대구광역시 서구 서대구로63길 28-13,35.8905185802915,128.5592160802915
대구광역시 서구 당산로 343,35.8780249,128.5492295
대구광역시 서구 당산로51길 48,35.85978438029151,128.5454928802915
대구광역시 서구 당산로47길 69,35.85781478029149,128.5447486802915
대구광역시 서구 당산로47길 69,35.85781478029149,128.5447486802915
대구광역시 서구 평리로 221,35.8645795802915,128.5488319802915
대구광역시 서구 평리로 215,35.8633660802915,128.5485069802915
대구광역시 서구 국채보상로38길 22,35.86935538029149,128.5532453802915
대구광역시 서구 당산로 324,35.8658082802915,128.5486011802915
대구광역시 서구 국채보상로38길 32,35.8684021802915,128.5533362802915
대구광역시 서구 국채보상로36길 50,35.8664570802915,128.5525775802915
대구광역시 서구 국채보상로34길 47,35.8663813802915,128.5519690802915
대구광역시 서구 평리로 255,35.8644056802915,128.5525821802915
대구광역시 서구 서대구로15길 31,35.8648403802915,128.5542803802915
대구광역시 서구 당산로41서길 97,35.8583348802915,128.5439384802915
대구광역시 서구 국채보상로34길 35,35.8680908802915,128.5516453802915
대구광역시 서구 국채보상로 135,35.87090138029149,128.5466728802915
대구광역시 서구 국채보상로34길 63,35.8656059802915,128.5524254802915
대구광역시 서구 국채보상로34길 50,35.8652733802915,128.5506659802915
대구광역시 서구 평리로 157,35.8609514802915,128.5419411802915
대구광역시 서구 국채보상로 7,35.8737103,128.5366505302915
대구광역시 서구 국채보상로34길 12,35.8685021802915,128.5494192802915
대구광역시 서구 국채보상로36길 39,35.8676087802915,128.5534060802915
대구광역시 서구 국채보상로36길 57,35.8659511802915,128.5534055802915
대구광역시 서구 달서로55길 5,35.8881657802915,128.5757569802915
대구광역시 서구 원대로13길 2,35.8844849802915,128.5820777802915
대구광역시 서구 달서천로76길 8,35.8836924802915,128.5763382802915
대구광역시 서구 고성로23길 18,35.88501828029151,128.5806595802915
대구광역시 서구 옥산로6길 9,35.8870969802915,128.5802183802915
대구광역시 서구 달서천로76길 11,35.88271758029151,128.5772105802915
대구광역시 서구 고성로 127,35.8838940802915,128.5807100802915
대구광역시 서구 문화로 280,35.87695548029149,128.5646470802915
대구광역시 서구 서대구로68길 51,35.88962198029149,128.5693821802915
대구광역시 서구 통학로 202,35.88000918029149,128.5654107802915
대구광역시 서구 국채보상로60길 6,35.87259038029149,128.5650370802915
대구광역시 서구 평리로 395,35.8683124802915,128.5675845802915
대구광역시 서구 국채보상로60길 51,35.86867528029149,128.5659493802915
대구광역시 서구 문화로 261,35.87727218029149,128.5626603802915
대구광역시 서구 국채보상로 289,35.8736622802915,128.5638386802915
대구광역시 서구 국채보상로53길 6-5,35.8737619802915,128.5621738802915
대구광역시 서구 북비산로45길 7,35.8814529802915,128.5580848802915
대구광역시 서구 통학로 217,35.8816253802915,128.5638406802915
대구광역시 서구 국채보상로 257,35.87315118029149,128.5605693802915
대구광역시 서구 국채보상로 249,35.87288158029151,128.5594235802915
대구광역시 서구 국채보상로49길 12,35.87360478029151,128.5589590802915
