addresss,lattitude,longitude
화원읍 비슬로 2705(1번출구),35.8104244802915,128.5123787802915
화원읍 비슬로 2679,35.80971348029149,128.5097883802915
화원읍 비슬로 2674,35.8085568802915,128.5094235802915
화원읍 비슬로 2611,35.8065339802915,128.5034955802915
화원읍 비슬로 2620,35.8062923802915,128.5045805802915
화원읍 비슬로 257,35.8104238,128.5130003
화원읍 비슬로 2582,35.8049023802915,128.5007147802915
화원읍 비슬로 2519,35.80270778029149,128.4945681802915
화원읍 비슬로 506길 14,35.8019601802915,128.4948788802915
화원읍 비슬로 2490,35.8104238,128.5130003
화원읍 비슬로 2428,35.7971497802915,128.4866976802915
화원읍 사문진로 359,35.80890678029149,128.4904626802915
화원읍 사문진로 354,35.80885488029149,128.4894764802915
화원읍 성산리 83,35.8094857802915,128.4872673802915
화원읍 성산리 310,35.8142843802915,128.4823667802915
화원읍 성산리 310,35.8142843802915,128.4823667802915
화원읍 명천로 243,35.7990947802915,128.4942471802915
화원읍 비슬로 2495,35.8104238,128.5130003
화원읍 명천로 181,35.8010983802915,128.4995137802915
화원읍 명천로17길 7-9,35.80371718029149,128.5093130802915
화원읍 명천로 57,35.80517308029151,128.5128629802915
화원읍 명천로 11,35.8056333802915,128.5097346802915
화원읍 명천로 231,35.7996255802915,128.4960294802915
화원읍 명곡로 30,35.79799758029149,128.4964906802915
화원읍 화암로 120,35.7994499802915,128.5012205802915
화원읍 화암로 122,35.8001040802915,128.5030158802915
화원읍 명천로 11,35.8056333802915,128.5097346802915
화원읍 비슬로 2487,35.80093478029149,128.4914969802915
화원읍 성천로 8,35.80075678029149,128.4902721802915
화원읍 비슬로 2451,35.79893628029151,128.4882297802915
논공읍 논공중앙로 106,35.7281541802915,128.4490242802915
논공읍 용호로 6,35.72881428029149,128.4482143802915
논공읍 봉동길 9-5,35.7782710802915,128.4345820802915
논공읍 달성군청로 33,35.77589038029149,128.4326733802915
논공읍 논공로 763,35.7298944802915,128.4459122802915
논공읍 비슬로 1779,35.7756034802915,128.4215395802915
다사읍 죽곡리 821-1,35.8636751,128.4723554
다사읍 문양리 418-3,35.8652031802915,128.4394239802915
다사읍 서재로 119-1,35.8756011802915,128.4983827802915
다사읍 달구벌대로 770,35.8621805802915,128.4584196802915
다사읍 달구벌대로 790,35.86301238029149,128.4596424802915
다사읍 달구벌대로 812,35.8623206802915,128.4623168802915
다사읍 달구벌대로 842-7,35.8606843802915,128.4628908802915
다사읍 달구벌대로 805,35.8640704802915,128.4608421802915
다사읍 달구벌대로 839,35.8634460802915,128.4640550802915
다사읍 서재로 59,35.8705070802915,128.4970498802915
다사읍 달구벌대로 790,35.86301238029149,128.4596424802915
다사읍 달구벌대로 874,35.8712092,128.4674433
다사읍 달구벌대로 895,35.8583522802915,128.4683689802915
다사읍 다사로 59-5,35.8899595,128.5103036
다사읍 달구벌대로 874,35.8712092,128.4674433
다사읍 서재로 35,35.86956998029149,128.4948005802915
다사읍 서재로 145,35.8778924802915,128.4977171802915
다사읍 세천로 182-9,35.8759035802915,128.4827914802915
유가읍 테크노대로5길 57,35.728201,128.537453
현풍읍 테크노상업로 20,35.719879,128.4627811
현풍읍 테크노상업로 50,35.69353418029149,128.4518448802915
가창면 가창로 1124,35.80564868029151,128.6246613802915
가창면 가창로 1121,35.8059726802915,128.6238804802915
가창면 가창로 1100,35.80393438029149,128.6243049802915
가창면 가창로176길 27,35.7910364802915,128.6359114802915
가창면 가창로 1025,35.7979315802915,128.6272440802915
가창면 가창로 1008,35.7976598802915,128.6290574802915
가창면 냉천리 38-4,35.7885083802915,128.6400729802915
가창면 가창로123길 2,35.7701300802915,128.6495488802915
하빈면 하목정2길 3,35.8816868302915,128.4006892302915
하빈면 하산리 672,35.8839159802915,128.4090983802915
하빈면 동곡리 124-1,35.8792596802915,128.4188313802915
하빈면 하빈남로 249,35.8623424802915,128.4094517802915
하빈면 묘리 715,35.90603958029149,128.4219664802915
하빈면 감문리 813-2,35.8878532802915,128.4231030802915
옥포읍 비슬로 2283,35.7917683802915,128.4722935802915
옥포읍 비슬로 2215,35.7906593802915,128.4652081802915
옥포읍 반송리 170-1,35.7569369802915,128.4952431802915
옥포읍 비슬로 2220,35.7888007802915,128.4659207802915
옥포읍 비슬로 1900-1,35.7807195802915,128.4332226802915
옥포읍 용연사길 260,35.7495086802915,128.5224730802915
옥포읍 돌미로5길 15,35.7841648802915,128.4464825802915
옥포읍 돌미로 49,35.8112024,128.5392109
구지면 구지동로10길 3,35.65077198029149,128.4390706802915
구지면 창리로11길 38,35.66011968029149,128.4149101802915
구지면 창리로11길 51,35.66079258029149,128.4147744802915
구지면 대암리 180,35.63112048029149,128.4039222802915
구지면 과학마을로2길 5-22,35.6568482802915,128.4160694802915
구지면 과학마을로4길 49,35.6558164302915,128.4189523
구지면 응암리 1232,35.6613615,128.4300255
